Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2022-11-25 13:08:47,"Chest",1h 3m,"Chest Fly",4,149.99999999999997,12,0,0,,,
2022-11-25 13:08:47,"Chest",1h 3m,"Chest Fly (Band)",1,60.0,12,0,0,"",,
2022-11-25 13:08:47,"Chest",1h 3m,"Chest Fly (Band)",2,60.0,12,0,0,,,
2022-11-25 13:08:47,"Chest",1h 3m,"Chest Fly (Band)",3,40.0,12,0,0,,,
2022-11-25 13:08:47,"Chest",1h 3m,"Chest Fly (Band)",4,40.0,12,0,0,,,
2022-11-25 13:08:47,"Chest",1h 3m,"Chest Dip",1,90.718474,10,0,0,"",,
2022-11-25 13:08:47,"Chest",1h 3m,"Chest Dip",2,90.718474,6,0,0,,,
2022-11-25 13:08:47,"Chest",1h 3m,"Chest Dip",3,90.718474,7,0,0,,,
2022-11-25 13:08:47,"Chest",1h 3m,"Chest Dip",4,90.718474,5,0,0,,,
2022-11-28 13:01:40,"Back/Legs",1h 14m,"Squat (Barbell)",1,135.0,12,0,0,"","",
2022-11-28 13:01:40,"Back/Legs",1h 14m,"Squat (Barbell)",2,135.0,12,0,0,,,
2022-11-28 13:01:40,"Back/Legs",1h 14m,"Squat (Barbell)",3,135.0,12,0,0,,,
2022-11-28 13:01:40,"Back/Legs",1h 14m,"Squat (Barbell)",4,135.0,12,0,0,,,
2022-11-28 13:01:40,"Back/Legs",1h 14m,"Seated Row (Cable)",1,90.0,12,0,0,"",,
2022-11-28 13:01:40,"Back/Legs",1h 14m,"Seated Row (Cable)",2,100.0,12,0,0,,,
2022-11-28 13:01:40,"Back/Legs",1h 14m,"Seated Row (Cable)",3,100.0,12,0,0,,,
2022-11-28 13:01:40,"Back/Legs",1h 14m,"Seated Row (Cable)",4,110.0,12,0,0,,,
2022-11-28 13:01:40,"Back/Legs",1h 14m,"Leg Extension (Machine)",1,40.0,12,0,0,"",,
2022-11-28 13:01:40,"Back/Legs",1h 14m,"Leg Extension (Machine)",2,40.0,12,0,0,,,
2022-11-28 13:01:40,"Back/Legs",1h 14m,"Leg Extension (Machine)",3,40.0,12,0,0,,,
2022-11-28 13:01:40,"Back/Legs",1h 14m,"Leg Extension (Machine)",4,50.0,12,0,0,,,
2022-11-28 13:01:40,"Back/Legs",1h 14m,"Iso-Lateral Row (Machine)",1,60.0,12,0,0,"",,
